"QNo","問題文","A","B","C","D","正解","解説","ひっかけ","ドメイン","難易度"
"151","DevOpsを導入すると聞いた管理者が、『これで開発と運用の役割を完全に分離し、それぞれが専門効率を高められる』と説明した。試験上、最も適切な理解はどれか。","DevOpsは開発と運用の分離を強め、引き継ぎを明確にする考え方である。","DevOpsは開発と運用が協力し、自動化を通じて継続的に価値を届けるための考え方である。","DevOpsは本番リリースを手作業で慎重に行うことを重視する。","DevOpsはセキュリティ要件の文書化だけを指す。","B","DevOpsは分離ではなく協力と自動化を重視する。","分業強化の正論","開発プラクティス","★★★★★"
"152","複数の利害関係者から直接要望が届く現場で、開発チームは意思決定を速めるため、各要望をそのまま受けて実装可否を決めたいと考えている。試験上、最も適切な対応はどれか。","現場が最も実情を知るので、開発チームが直接優先順位を決める。","要望はプロダクトオーナーが集約し、製品方針や優先順位を判断する。","声が大きい利害関係者の要望から処理する。","チームリーダーが要望受付と優先順位付けを兼任する。","B","利害関係者の要望の集約と優先順位判断はプロダクトオーナーの責務である。","現場判断の合理性","役割","★★★★★"
"153","ベテラン開発者が、新人とのペアプログラミングは自分の生産性を下げるので避けたいと主張した。試験上、最も適切な判断はどれか。","短期効率を優先し、ベテランは単独で進めるべきである。","ベテランは常にナビゲーターに専念し、新人だけがコードを書くべきである。","ペアプログラミングは知識共有とチーム全体の能力向上に寄与するため、チーム全体の観点で捉える。","新人の教育はチームリーダーの仕事であり、開発作業中に行うべきではない。","C","試験では個人最適よりチーム全体の知識共有と能力向上を重視する。","個人効率とチーム学習の競合","開発プラクティス","★★★★★"
"154","あるメンバーが『顧客の満足を最優先するなら、スプリントレビューでは動くものがなくても、丁寧な説明資料があれば十分だ』と述べた。試験上、最も適切な判断はどれか。","説明資料が詳細なら、動く成果物がなくてもレビューの目的は果たせる。","動くソフトウェアこそ進捗の主要な尺度であり、可能な限り実際の成果物を示すべきである。","レビューは資料レビュー会なので、実演は必須ではない。","顧客が忙しい場合は、資料送付だけでレビュー完了としてよい。","B","試験では動くソフトウェアを重視し、レビューでも実際の成果物が重要となる。","資料の丁寧さ","原則・価値","★★★★★"
"155","顧客との対話を重視するため、チームは『情報伝達の専門担当』を1人置き、その人だけが顧客と話す運用を検討している。試験上、最も適切な判断はどれか。","誤解を防ぐため、対話の専門担当に一本化するのが最も効率的である。","顧客との対話は専門担当だけで行い、開発チームは受け取った情報だけを使う。","フェイス・トゥ・フェイスの対話は有効だが、専任の対話専門家を置くことが原則ではない。","開発チームは顧客と直接話さない方が集中できる。","C","直接対話は重要だが、専任担当に切り分けることが原則とはされない。","対話重視の誤用","原則・価値","★★★★★"
"156","開発チームが毎回高品質な成果を出しているので、今回のスプリントでは完了の定義を簡略化しても問題ないという声が出た。試験上、最も適切な判断はどれか。","品質が安定しているなら、完了の定義は都度緩めてよい。","完了の定義は安定した品質判断の基準であり、都合よく緩めるべきではない。","品質が高いメンバーだけは完了の定義を免除してよい。","顧客が急いでいるなら、完了の定義より納期を優先すべきである。","B","DoDは一貫した品質基準であり、都合に応じて緩めるものではない。","実績があるから例外","成果物・管理","★★★★"
"157","改善案を決める場で、チームリーダーは『自己組織化を尊重するので、私は一切助言せず見守る』と言った。試験上、最も適切な理解はどれか。","自己組織化ではチームリーダーは完全に非関与である。","チームリーダーは支援型リーダーとして、合意形成や理解促進を支える。","自己組織化を保つには、チームリーダーが最終決定だけを行えばよい。","改善案の決定は常にプロダクトオーナーが主導すべきである。","B","チームリーダーは命令者ではないが、支援やコーチングの役割を持つ。","放任と支援の混同","役割","★★★★"
"158","スプリント計画で、開発チームは余裕を持たせるため曖昧な見積りをまとめて大きな塊で扱いたいと考えている。試験上、最も適切な判断はどれか。","大きな塊の方が調整しやすいので、見積りは粗いほどよい。","ストーリーは実現に必要な作業を含めて見積もり、必要なら分割して扱う。","見積りはチームリーダーが単独で決める方が一貫する。","見積りは顧客が期待する納期に合わせて後から調整すればよい。","B","試験では必要な作業を含めて見積もり、過大なら分割する考え方が基本である。","粗い見積りの安心感","可視化・管理","★★★★"
"159","リファクタリングを進める提案に対し、『今は新機能を急いでいるから、コード負債は後でまとめて返せばよい』という意見が強かった。試験上、最も適切な理解はどれか。","負債返済は価値を生まないので、常に後回しにすべきである。","将来の変更容易性と品質を保つため、必要なリファクタリングへの継続的な注意が重要である。","リファクタリングは新機能開発を完全に止めてからまとめて行うべきである。","負債は運用開始後にしか見えないので、開発中は考えなくてよい。","B","技術的卓越性と優れた設計への継続的な注意は、アジャイルの重要な原則である。","短期機能優先の正論","開発プラクティス","★★★★★"
"160","毎週の振り返りで、あるメンバーは『今回はプロダクトに問題がなかったので、振り返りは不要だ』と述べた。試験上、最も適切な判断はどれか。","成果物に問題がなければ、振り返りは省略してよい。","振り返りは大きな障害があった時だけ実施すれば十分である。","振り返りはプロダクトだけでなく、チームの行動や進め方も対象として定期的に行う。","レビューで顧客満足が得られたなら、振り返りの役割は終わっている。","C","振り返りはプロダクト品質だけでなく、チームの進め方改善のために定期的に行う。","問題がなければ不要","スクラムイベント","★★★★"
