"QNo","問題文","A","B","C","D","正解","解説","ひっかけ","ドメイン","難易度"
"81","TDDを導入している開発チームで、新しいAPIのテスト方針を議論している。あるメンバーは『内部実装を細かく検査するホワイトボックステストだけで十分だ』と主張した。試験上、最も適切な判断はどれか。","TDDでは内部構造を設計するので、ブラックボックスの観点は不要である。","TDDでは振る舞いを方向付けるため、ブラックボックスの観点もスコープに含まれる。","ホワイトボックスとブラックボックスは同時に書けないため、どちらかを固定すべきである。","TDDのテストコードは品質保証だけが目的なので、観点は問わない。","B","TDDは振る舞いを定義するため、ブラックボックスの観点も含めて考える。","TDDとホワイトボックスの混同","開発プラクティス","★★★★★"
"82","常時結合のビルドが失敗した。原因は一部の補助機能で、今進めている大きな商談案件には直接関係しない。現場では後回しにしたい空気がある。試験上、最も適切な対応はどれか。","影響範囲が限定的なら、商談案件の完了後にまとめて直す。","原因調査に時間がかかる場合は、次の安定版ブランチで解決する。","失敗したビルドを最優先で修正し、常に動く状態を保つ。","担当者が空いた時にローカルだけ直しておけば十分である。","C","CIの失敗はチーム全体の問題であり、最優先で修正して動く状態を保つ。","重要案件優先の正論","開発プラクティス","★★★★★"
"83","自己組織化を進めるため、各メンバーは自分の得意領域にだけ集中し、他領域には手を出さない運用が提案された。試験上、最も適切な判断はどれか。","専門性が高まるため、自己組織化の理想形である。","自己組織化では、チームで必要な作業を見て互いに支援し合うことが重要である。","他領域を手伝うと責任が曖昧になるので避けるべきである。","チームリーダーが各領域の担当を固定してこそ自己組織化が成立する。","B","自己組織化は固定分業ではなく、目標達成のために自律的に協力することを含む。","自己組織化と専門固定の混同","チーム特性","★★★★★"
"84","ある開発チームは『動くソフトウェアこそ最重要だから、運用引継ぎ資料は後で必要になった時に作ればよい』と考えている。試験上、最も適切な理解はどれか。","動くソフトウェアがあれば、運用に関するドキュメントは不要である。","包括的なドキュメントより動くソフトウェアを重視するが、保守や運用に必要な情報は残すべきである。","文書化はアジャイルに反するので、口頭伝達だけで十分である。","試験ではドキュメントの価値を否定しているため、作らない方が正しい。","B","試験ではドキュメント不要ではなく、必要なドキュメントは作る。","価値の絶対化","原則・価値","★★★★★"
"85","納期が近づき、開発チームは『今だけ毎日深夜まで頑張れば信頼を守れる』と考えている。試験上、持続可能なペースの観点から最も適切な判断はどれか。","短期的な成果が出るなら、繁忙期の継続的な長時間労働は許容される。","持続可能なペースを保ち、長期的な生産性と健全性を守ることが重要である。","ワークライフバランスは個人の問題なので、チームとしては関与しない。","チームリーダーが体調を管理すれば、残業中心でも問題ない。","B","アジャイルでは持続可能なペースが重要であり、短期成果のための常態化した無理は避ける。","短期成果の正論","チーム特性","★★★★★"
"86","チームの規約は更新されるたびにチームリーダーだけが保管し、必要なときに口頭で共有している。機密保持の観点では合理的だという声もある。試験上、最も適切な判断はどれか。","機密性を優先し、規約は管理者だけが持つ方がよい。","規約は変わらないように最初に厳密に決め、共有の手間を減らすべきである。","規約は全員がいつでも参照できる場所に置き、振り返りで必要に応じて更新する。","口頭共有でも理解できるなら、明文化は不要である。","C","チームの規約は継続的に更新され、全員が参照できる必要がある。","アクセス制限の合理性","チーム特性","★★★★"
"87","優先度の高いストーリーについて、開発チームは技術的に厳しいため小さく分割したいと考えている。一方、プロダクトオーナーは一括で出した方が価値が高いと考えている。試験上、最も適切な役割の整理はどれか。","価値が高いなら、分割せず一括実装するようプロダクトオーナーが実装方針を決める。","実装方法と分割の考え方は開発チームが主に担い、プロダクトオーナーは価値と優先順位を判断する。","チームリーダーが価値と実装の両方を最終決定する。","技術的な話は顧客価値に関係ないので、優先順位だけで決めればよい。","B","WhatはPO、Howは開発チームという整理が基本である。","価値と実装方法の越境","役割","★★★★★"
"88","バーンダウンチャートが理想線から外れ始めたため、管理層は『遅れているメンバーを特定して是正すべきだ』と求めた。試験上、最も適切な理解はどれか。","バーンダウンチャートは個人の遅れを見つけるための主要ツールである。","理想線との差分があれば、スプリント期間を延長して合わせるべきである。","バーンダウンチャートはチームの進み方を可視化し、必要な調整を考えるために使う。","理想線から外れたら、残件を自動的に削減して帳尻を合わせる。","C","バーンダウンは個人監視ではなく、チームで状況を把握して調整するための可視化手段である。","可視化ツールの監視化","可視化・管理","★★★★"
"89","振り返りの対象について、あるメンバーは『今回はプロダクト品質の話だけに絞るべきで、チームのコミュニケーションは別問題だ』と述べた。試験上、最も適切な理解はどれか。","レトロスペクティブは成果物の欠陥だけを扱う場である。","レトロスペクティブは開発チーム内で起きた事象全般を改善対象にできる。","品質の話はレビューで扱うので、レトロスペクティブでは扱わない。","チームの人間関係は業務外なので対象に含めない。","B","振り返りはチームの進め方や協働を含む広い改善の場である。","対象範囲の限定","スクラムイベント","★★★★"
"90","『変化への対応』を重視するなら、計画を細かく立てること自体が無意味だという意見が出た。試験上、最も適切な理解はどれか。","計画は不要で、その場の判断だけで進めるべきである。","計画は立てるが、変化に応じて見直しながら進める。","一度立てた計画は変更せず守り抜くことで変化に対応できる。","計画はプロダクトオーナーだけが持ち、開発チームには共有しない。","B","試験では計画を否定せず、変化に応じて見直す姿勢を重視する。","適応と無計画の混同","原則・価値","★★★★★"
