QNo,問題文,A,B,C,D,正解,解説,ひっかけ,ドメイン,難易度
1,開発チームがデイリースクラムを実施しているが、進捗が遅れていることが判明した。その場でプロダクトオーナーが参加し、作業の優先順位変更を指示した。この状況として最も適切な判断はどれか。,プロダクトオーナーは優先順位を管理するため正しい,デイリースクラムでの指示は問題ない,デイリースクラムは開発チームのためのものであり、指示は不適切,チームリーダーが代わりに指示すべき,C,正解：デイリースクラムは開発チームのためのイベントであり、外部からの指示の場ではない。A：バックログで管理。B：意思決定の場ではない。D：チームリーダーも指示しない。,役割誤解,スクラムイベント,★★★
2,プロダクトオーナーがチームの作業効率を上げるため、開発タスクの詳細な手順を定義し始めた。最も適切な判断はどれか。,作業効率向上のため適切,チームの裁量を奪うため不適切,チームリーダーが承認すれば問題ない,スプリント計画時のみ許可される,B,正解：開発方法はチーム責任。A：効率より自己組織化。C：承認権なし。D：タイミング問題ではない。,効率という正論,役割,★★★
3,スプリント計画中に、チームがすべてのバックログを完了できないと判断した。最も適切な対応はどれか。,POが完了できる量を強制する,チームが実現可能な範囲を選択する,全て分割して無理に入れる,スプリント期間を延長する,B,正解：チームがコミット。A：強制NG。C：品質低下。D：タイムボックス固定。,スコープ誤解,スクラムイベント,★★
4,あるチームがTDDを導入したが、テストを書かずに実装を進めるメンバーがいた。最も適切な対応はどれか。,実装優先で問題ない,後でテストを書く,TDDの原則に反する,チームリーダーがテストを書く,C,正解：TDDはテスト→実装→リファクタリング。A,B：後付け不可。D：役割誤り。,効率重視誤解,開発プラクティス,★★
5,レトロスペクティブで問題点は出たが改善アクションが決まらなかった。最も適切な評価はどれか。,問題共有できたので成功,次回に回せば良い,改善がないため不十分,チームリーダーの責任,C,正解：改善に繋がらないと意味がない。A,B：不十分。D：チーム責任。,共有＝OK誤解,スクラムイベント,★★★
6,CIの目的として最も適切なものはどれか。,手動テスト削減,頻繁な統合と早期検出,本番自動化,ドキュメント効率化,B,正解：CIは統合と早期検出。A：結果。C：CD。D：無関係。,CI/CD混同,開発プラクティス,★★
7,チームのベロシティが低下した。最も適切な対応はどれか。,メンバー増員,数値を強制,原因を振り返る,見積もり変更,C,正解：原因分析。A：逆効果。B：誤用。D：本質解決でない。,数値管理誤用,可視化・管理,★★★
8,自己組織化されたチームの状態として最も適切なのはどれか。,上司の指示に従う,チームが自ら意思決定,POが全決定,チームリーダーが管理,B,正解：チーム主体。A：従属。C,D：管理型。,管理思考,チーム特性,★★
9,スプリントレビューで顧客から新要求が出た。最も適切な対応はどれか。,即追加,次スプリントで検討,無視,チームリーダーが判断,B,正解：バックログへ。A：途中変更NG。C：価値無視。D：責任誤り。,スコープ変更,スクラムイベント,★★★
10,アジャイルの価値として最も適切なものはどれか。,計画に従う,契約交渉,顧客との協調,包括的ドキュメント,C,正解：顧客との協調。A：変化優先。B：協調重視。D：動くソフト優先。,原則逆転,原則・価値,★★
